name,duration,playcount,listeners,mbid,url,artist
Brooklyn Baby,349,4024527,380941,5a314ddb-6b87-4cec-97ff-6974f1b3367f,https://www.last.fm/music/Lana+Del+Rey/_/Brooklyn+Baby,Lana Del Rey
Ungodly Hour,0,1429204,107707,,https://www.last.fm/music/Chloe+x+Halle/_/Ungodly+Hour,Chloe x Halle
Feel Special,0,3371260,136677,,https://www.last.fm/music/TWICE/_/Feel+Special,TWICE
Blinding Lights,0,11733763,680819,,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,The Weeknd
drivers license,0,4684602,281940,,https://www.last.fm/music/Olivia+Rodrigo/_/drivers+license,Olivia Rodrigo
telepatía,0,1941525,163509,,https://www.last.fm/music/Kali+Uchis/_/telepat%C3%ADa,Kali Uchis
Save Your Tears,0,3726981,331308,,https://www.last.fm/music/The+Weeknd/_/Save+Your+Tears,The Weeknd
Leave The Door Open,0,645393,123519,,https://www.last.fm/music/Bruno+Mars/_/Leave+The+Door+Open,Bruno Mars
Good Days,0,2466087,210568,,https://www.last.fm/music/SZA/_/Good+Days,SZA
Positions,0,7208409,320171,,https://www.last.fm/music/Ariana+Grande/_/Positions,Ariana Grande
Streets,0,2468549,199624,,https://www.last.fm/music/Doja+Cat/_/Streets,Doja Cat
Love Story (Taylor’s Version),0,1795991,160550,,https://www.last.fm/music/Taylor+Swift/_/Love+Story+(Taylor%E2%80%99s+Version),Taylor Swift
doN'T StArT nOw,0,9403182,496131,,https://www.last.fm/music/Dua+Lipa/_/doN%27T+StArT+nOw,Dua Lipa
34+35,0,3565861,256312,,https://www.last.fm/music/Ariana+Grande/_/34%252B35,Ariana Grande
The Less I Know the Better,0,9680340,728700,,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,Tame Impala
One More Time,0,8661234,1327447,65f491fb-1816-4d97-97db-a39272f40c62,https://www.last.fm/music/Daft+Punk/_/One+More+Time,Daft Punk
wAp (fEAt. mEgAn thEe stAllIOn),0,6186356,387258,,https://www.last.fm/music/Cardi+B/_/wAp+(fEAt.+mEgAn+thEe+stAllIOn),Cardi B
Watermelon Sugar,0,6977560,450408,,https://www.last.fm/music/Harry+Styles/_/Watermelon+Sugar,Harry Styles
Dynamite,0,55210832,293150,,https://www.last.fm/music/BTS/_/Dynamite,BTS
Prisoner (feat. Dua Lipa),0,3346223,223189,,https://www.last.fm/music/Miley+Cyrus/_/Prisoner+(feat.+Dua+Lipa),Miley Cyrus
willow,0,3632801,233125,,https://www.last.fm/music/Taylor+Swift/_/willow,Taylor Swift
What’s Next,0,438330,92918,,https://www.last.fm/music/Drake/_/What%E2%80%99s+Next,Drake
Sweater Weather,240,9232343,799998,7edd94f0-3add-48c7-b4ee-0b5300773792,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,The Neighbourhood
We're Good,0,862591,115827,,https://www.last.fm/music/Dua+Lipa/_/We%27re+Good,Dua Lipa
Levitating (feat. DaBaby),0,1868297,217867,,https://www.last.fm/music/Dua+Lipa/_/Levitating+(feat.+DaBaby),Dua Lipa
Wants and Needs (feat. Lil Baby),0,431895,85815,,https://www.last.fm/music/Drake/_/Wants+and+Needs+(feat.+Lil+Baby),Drake
therefore i am,0,2283438,268468,,https://www.last.fm/music/Billie+Eilish/_/therefore+i+am,Billie Eilish
Do I Wanna Know?,272,15596807,1138871,f1e57531-e0df-4b3e-938f-1ae30c5b1a11,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F,Arctic Monkeys
test drive,0,621040,81697,,https://www.last.fm/music/Ariana+Grande/_/test+drive,Ariana Grande
carDIGan,0,5846068,300161,,https://www.last.fm/music/Taylor+Swift/_/carDIGan,Taylor Swift
"Harder, Better, Faster, Stronger",224,10437188,1358570,f1a6a40f-78f5-4918-968d-f64363bae94c,"https://www.last.fm/music/Daft+Punk/_/Harder,+Better,+Faster,+Stronger",Daft Punk
Pink + White,0,6188976,452139,,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,Frank Ocean
UP,0,1003915,106057,,https://www.last.fm/music/Cardi+B/_/UP,Cardi B
Break My Heart,0,5232754,370036,,https://www.last.fm/music/Dua+Lipa/_/Break+My+Heart,Dua Lipa
bad guy,0,8237281,625486,,https://www.last.fm/music/Billie+Eilish/_/bad+guy,Billie Eilish
Earfquake,0,5253220,407244,,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake","Tyler, the Creator"
Instant Crush (feat. Julian Casablancas),0,6444869,718509,,https://www.last.fm/music/Daft+Punk/_/Instant+Crush+(feat.+Julian+Casablancas),Daft Punk
Physical,0,6951096,347432,,https://www.last.fm/music/Dua+Lipa/_/Physical,Dua Lipa
nights,0,6666531,402366,,https://www.last.fm/music/Frank+Ocean/_/nights,Frank Ocean
Adore You,0,5806241,376122,,https://www.last.fm/music/Harry+Styles/_/Adore+You,Harry Styles
Starboy,0,5449537,545255,,https://www.last.fm/music/The+Weeknd/_/Starboy,The Weeknd
See You Again (feat. Kali Uchis),0,2635988,272903,,"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)","Tyler, the Creator"
Mr. Brightside,224,23645468,2200687,37d516ab-d61f-4bcb-9316-7a0b3eb845a8,https://www.last.fm/music/The+Killers/_/Mr.+Brightside,The Killers
Redbone,0,5666881,536215,,https://www.last.fm/music/Childish+Gambino/_/Redbone,Childish Gambino
Golden,0,3619494,266850,,https://www.last.fm/music/Harry+Styles/_/Golden,Harry Styles
Ivy,0,5811108,417528,,https://www.last.fm/music/Frank+Ocean/_/Ivy,Frank Ocean
Why'd You Only Call Me When You're High?,161,8786826,792917,4c986184-424a-44bb-ad23-b6261f3d044f,https://www.last.fm/music/Arctic+Monkeys/_/Why%27d+You+Only+Call+Me+When+You%27re+High%3F,Arctic Monkeys
Say So,0,5457244,395755,,https://www.last.fm/music/Doja+Cat/_/Say+So,Doja Cat
The Hills,0,5689814,594350,,https://www.last.fm/music/The+Weeknd/_/The+Hills,The Weeknd
In Your Eyes,0,3791882,363021,,https://www.last.fm/music/The+Weeknd/_/In+Your+Eyes,The Weeknd
EXILE (feat. Bon Iver),0,4447792,261100,,https://www.last.fm/music/Taylor+Swift/_/EXILE+(feat.+Bon+Iver),Taylor Swift
champagne problems,0,2753257,183087,,https://www.last.fm/music/Taylor+Swift/_/champagne+problems,Taylor Swift
Slow dancing in the dark,0,5221826,334868,,https://www.last.fm/music/Joji/_/Slow+dancing+in+the+dark,Joji
7 rings,0,9976182,448572,,https://www.last.fm/music/Ariana+Grande/_/7+rings,Ariana Grande
505,253,9449610,808838,8dee0224-bcf9-4023-a805-9562bafd3450,https://www.last.fm/music/Arctic+Monkeys/_/505,Arctic Monkeys
Feel Good Inc.,221,14515912,1711384,5660558a-bfa7-416f-99d9-a34ca0a34515,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.,Gorillaz
Toxic,207,8229709,1105418,0c771a6a-8904-479b-b864-9176047dad59,https://www.last.fm/music/Britney+Spears/_/Toxic,Britney Spears
Sofia,0,3064632,264847,,https://www.last.fm/music/Clairo/_/Sofia,Clairo
Levitating,0,4012067,252883,,https://www.last.fm/music/Dua+Lipa/_/Levitating,Dua Lipa
Circles,0,5227828,405982,,https://www.last.fm/music/Post+Malone/_/Circles,Post Malone
rAIn oN mE (with aRIaNa gRAndE),0,8088145,310770,,https://www.last.fm/music/Lady+Gaga/_/rAIn+oN+mE+(with+aRIaNa+gRAndE),Lady Gaga
Daddy Issues,0,3571693,311543,,https://www.last.fm/music/The+Neighbourhood/_/Daddy+Issues,The Neighbourhood
Dreams - 2004 Remaster,0,2671773,341368,,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster,Fleetwood Mac
Midnight Sky,0,4883671,263516,,https://www.last.fm/music/Miley+Cyrus/_/Midnight+Sky,Miley Cyrus
Kyoto,0,2374680,206082,,https://www.last.fm/music/Phoebe+Bridgers/_/Kyoto,Phoebe Bridgers
I Feel It Coming,0,3675229,419518,,https://www.last.fm/music/The+Weeknd/_/I+Feel+It+Coming,The Weeknd
Chanel,0,4704229,362474,,https://www.last.fm/music/Frank+Ocean/_/Chanel,Frank Ocean
Smells Like Teen Spirit,301,18263087,2278769,0ebe2d92-a11d-4b2b-9922-806383074ed7,https://www.last.fm/music/Nirvana/_/Smells+Like+Teen+Spirit,Nirvana
Everything I Wanted,0,5009935,387157,,https://www.last.fm/music/Billie+Eilish/_/Everything+I+Wanted,Billie Eilish
thE 1,0,4119935,258324,,https://www.last.fm/music/Taylor+Swift/_/thE+1,Taylor Swift
motive (with Doja Cat),0,2027538,155459,,https://www.last.fm/music/Ariana+Grande/_/motive+(with+Doja+Cat),Ariana Grande
Lemon Pepper Freestyle (feat. Rick Ross),0,261425,65244,,https://www.last.fm/music/Drake/_/Lemon+Pepper+Freestyle+(feat.+Rick+Ross),Drake
pov,0,2503881,176379,,https://www.last.fm/music/Ariana+Grande/_/pov,Ariana Grande
Blank Space,231,7267184,460326,c3fe7791-0a91-4f0a-a89b-b056f38d3cde,https://www.last.fm/music/Taylor+Swift/_/Blank+Space,Taylor Swift
when the party's over,0,5849260,476057,,https://www.last.fm/music/Billie+Eilish/_/when+the+party%27s+over,Billie Eilish
Are You Bored Yet? (feat. Clairo),0,3236548,286998,,https://www.last.fm/music/Wallows/_/Are+You+Bored+Yet%3F+(feat.+Clairo),Wallows
"no body, no crime (feat. HAIM)",0,2332098,166810,,"https://www.last.fm/music/Taylor+Swift/_/no+body,+no+crime+(feat.+HAIM)",Taylor Swift
aUgUSt,0,3856064,214211,,https://www.last.fm/music/Taylor+Swift/_/aUgUSt,Taylor Swift
Best Friend (feat. Doja Cat),0,871562,110797,,https://www.last.fm/music/Saweetie/_/Best+Friend+(feat.+Doja+Cat),Saweetie
Calling My Phone,0,583751,71567,,https://www.last.fm/music/lil+tjay/_/Calling+My+Phone,lil tjay
Something About Us,232,6260701,872318,c9fe7579-2456-40f9-b18e-9664ae8fa607,https://www.last.fm/music/Daft+Punk/_/Something+About+Us,Daft Punk
Ribs,258,5897421,527346,808e54ee-0ab6-48b8-8297-61e8016b8b5c,https://www.last.fm/music/Lorde/_/Ribs,Lorde
gold rush,0,2427235,169491,,https://www.last.fm/music/Taylor+Swift/_/gold+rush,Taylor Swift
How you like that,0,8295479,235569,,https://www.last.fm/music/BLACKPINK/_/How+you+like+that,BLACKPINK
Heat Waves,0,1878440,161317,,https://www.last.fm/music/Glass+Animals/_/Heat+Waves,Glass Animals
Around the World,226,5508100,1010916,b02ff1c6-07e5-4000-8308-1bd005242551,https://www.last.fm/music/Daft+Punk/_/Around+the+World,Daft Punk
Mood (feat. iann dior),0,2342632,226812,,https://www.last.fm/music/24kgoldn/_/Mood+(feat.+iann+dior),24kgoldn
Life Goes On,0,36630872,131751,,https://www.last.fm/music/BTS/_/Life+Goes+On,BTS
Digital Love,298,6330587,908413,15f16efc-8762-4151-95ab-c12d06268640,https://www.last.fm/music/Daft+Punk/_/Digital+Love,Daft Punk
Sunflower - Spider-Man: Into the Spider-Verse,0,5484638,407135,,https://www.last.fm/music/Post+Malone/_/Sunflower+-+Spider-Man:+Into+the+Spider-Verse,Post Malone
Take Me to Church,0,8992073,853016,2b4c7de6-bfaa-456a-9465-247ece2e9052,https://www.last.fm/music/Hozier/_/Take+Me+to+Church,Hozier
Heather,0,2694045,238021,,https://www.last.fm/music/Conan+Gray/_/Heather,Conan Gray
HUMBLE.,0,6231374,573941,,https://www.last.fm/music/Kendrick+Lamar/_/HUMBLE.,Kendrick Lamar
Goosebumps,0,1244500,189015,,https://www.last.fm/music/Travis+Scott/_/Goosebumps,Travis Scott
Little Dark Age,0,2857494,292131,,https://www.last.fm/music/MGMT/_/Little+Dark+Age,MGMT
Space Song,0,3496713,374721,,https://www.last.fm/music/Beach+House/_/Space+Song,Beach House
Come as You Are,208,15470823,2006938,e05035a3-14ac-4f88-a160-0a144530004e,https://www.last.fm/music/Nirvana/_/Come+as+You+Are,Nirvana
I Can't Stop Me,0,3392856,124126,,https://www.last.fm/music/TWICE/_/I+Can%27t+Stop+Me,TWICE
White Ferrari,0,4156475,312842,,https://www.last.fm/music/Frank+Ocean/_/White+Ferrari,Frank Ocean
Father Stretch My Hands Pt. 1,0,3774510,342029,,https://www.last.fm/music/Kanye+West/_/Father+Stretch+My+Hands+Pt.+1,Kanye West
Pumped Up Kicks,236,14542203,1438217,816b3284-5f24-4f3a-9554-750e0bf5d060,https://www.last.fm/music/Foster+the+People/_/Pumped+Up+Kicks,Foster the People
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",0,934780,122494,,"https://www.last.fm/music/Ariana+Grande/_/34%252B35+Remix+(feat.+Doja+Cat,+Megan+Thee+Stallion)+-+Remix",Ariana Grande
Creep,239,16407429,1827334,d11fcceb-dfc5-4d19-b45d-f4e8f6d3eaa6,https://www.last.fm/music/Radiohead/_/Creep,Radiohead
Borderline,0,3333116,325429,,https://www.last.fm/music/Tame+Impala/_/Borderline,Tame Impala
Money Trees,0,3989993,437316,,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees,Kendrick Lamar
Stronger,314,9969985,1547140,a7ddf553-673a-4d4e-96cc-d5a4bca6af2d,https://www.last.fm/music/Kanye+West/_/Stronger,Kanye West
Hayloft,183,1679100,162655,8dca0983-7cf3-498a-92d4-725ffe1db27f,https://www.last.fm/music/Mother+Mother/_/Hayloft,Mother Mother
SICKO MODE,0,1187276,206687,,https://www.last.fm/music/Travis+Scott/_/SICKO+MODE,Travis Scott
Everybody Wants to Rule the World,250,5898730,880249,e4b347be-ecb2-44ff-aaa8-3d4c517d7ea5,https://www.last.fm/music/Tears+for+Fears/_/Everybody+Wants+to+Rule+the+World,Tears for Fears
WITHOUT YOU,0,1202427,114072,,https://www.last.fm/music/The+Kid+LAROI/_/WITHOUT+YOU,The Kid LAROI
Liability,0,4546495,365236,,https://www.last.fm/music/Lorde/_/Liability,Lorde
Heartless,0,3882877,330907,,https://www.last.fm/music/The+Weeknd/_/Heartless,The Weeknd
Thinkin Bout You,203,7944187,772041,a3dc556d-4250-4e8f-a9d7-c26ddb876e0a,https://www.last.fm/music/Frank+Ocean/_/Thinkin+Bout+You,Frank Ocean
Green Light,0,5827141,443722,,https://www.last.fm/music/Lorde/_/Green+Light,Lorde
Dead To Me,0,2026009,206351,,https://www.last.fm/music/Kali+Uchis/_/Dead+To+Me,Kali Uchis
Motion Sickness,0,2419722,227809,,https://www.last.fm/music/Phoebe+Bridgers/_/Motion+Sickness,Phoebe Bridgers
Lovesick Girls,0,5339163,166377,,https://www.last.fm/music/BLACKPINK/_/Lovesick+Girls,BLACKPINK
self control,0,5035757,333704,,https://www.last.fm/music/Frank+Ocean/_/self+control,Frank Ocean
R U Mine?,200,11819068,900423,64745b72-5bc8-43a9-a2a3-0d20afd42d5d,https://www.last.fm/music/Arctic+Monkeys/_/R+U+Mine%3F,Arctic Monkeys
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",0,2451582,248780,,"https://www.last.fm/music/Kali+Uchis/_/After+The+Storm+(feat.+Tyler,+The+Creator+&+Bootsy+Collins)",Kali Uchis
XO TOUR Llif3,0,4741674,372914,,https://www.last.fm/music/LIL+UZI+VERT/_/XO+TOUR+Llif3,LIL UZI VERT
Falling,0,3229854,264463,,https://www.last.fm/music/Harry+Styles/_/Falling,Harry Styles
Take on Me,227,9034068,1354312,c9bf13e6-619e-4cca-ae0f-512e9a478930,https://www.last.fm/music/a-ha/_/Take+on+Me,a-ha
Hallucinate,0,3242184,245576,,https://www.last.fm/music/Dua+Lipa/_/Hallucinate,Dua Lipa
Wildest Dreams,220,4692599,336281,598bc2a9-1a27-4f6a-a7cc-30649303edca,https://www.last.fm/music/Taylor+Swift/_/Wildest+Dreams,Taylor Swift
Bad Romance,261,15014516,1322928,f0f34d5d-d7fc-44b0-aba8-7eca277882e2,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance,Lady Gaga
mY tEArS rICOchEt,0,3377927,216238,,https://www.last.fm/music/Taylor+Swift/_/mY+tEArS+rICOchEt,Taylor Swift
Ni**as In Paris,0,846467,164021,,https://www.last.fm/music/Jay-Z/_/Ni%2A%2Aas+In+Paris,Jay-Z
"Thank U, Next",0,8582446,435846,,"https://www.last.fm/music/Ariana+Grande/_/Thank+U,+Next",Ariana Grande
tHe LaSt GrEaT aMeRiCaN dYnAsTy,0,3235475,225016,,https://www.last.fm/music/Taylor+Swift/_/tHe+LaSt+GrEaT+aMeRiCaN+dYnAsTy,Taylor Swift
Cigarette Daydreams,207,3125603,371955,34c6765e-a256-4cff-95c7-3150a288f447,https://www.last.fm/music/Cage+the+Elephant/_/Cigarette+Daydreams,Cage the Elephant
Chemtrails Over the Country Club,0,1518977,128480,,https://www.last.fm/music/Lana+Del+Rey/_/Chemtrails+Over+the+Country+Club,Lana Del Rey
Somebody That I Used To Know,294,14177258,1238880,5b6ad1ba-9e08-4570-bcef-e3343519070a,https://www.last.fm/music/Gotye/_/Somebody+That+I+Used+To+Know,Gotye
Power,292,7432710,825608,f42e84ef-f23e-4b8c-b3a1-8f407be68ea5,https://www.last.fm/music/Kanye+West/_/Power,Kanye West
Boss Bitch,0,3556115,268457,,https://www.last.fm/music/Doja+Cat/_/Boss+Bitch,Doja Cat
Yellow,267,13945651,1733809,8b5bf478-22f8-4902-a1c1-0db82261db58,https://www.last.fm/music/Coldplay/_/Yellow,Coldplay
In the End,216,14298843,1574501,9d70086c-5d7a-4e7f-b1ed-c53c4b11310f,https://www.last.fm/music/Linkin+Park/_/In+the+End,Linkin Park
Bound 2,229,3844779,426303,d823ad32-96ee-4ff0-9653-b99c4d39310a,https://www.last.fm/music/Kanye+West/_/Bound+2,Kanye West
Boy With Luv (Feat. Halsey),0,33875259,264413,,https://www.last.fm/music/BTS/_/Boy+With+Luv+(Feat.+Halsey),BTS
In My Room,0,3128227,249206,,https://www.last.fm/music/Frank+Ocean/_/In+My+Room,Frank Ocean
Laugh Now Cry Later (feat. Lil Durk),0,1968484,203186,,https://www.last.fm/music/Drake/_/Laugh+Now+Cry+Later+(feat.+Lil+Durk),Drake
Fluorescent Adolescent,182,12386670,1154129,fa2fa7b2-6e64-4d17-ba30-bf1027b690d1,https://www.last.fm/music/Arctic+Monkeys/_/Fluorescent+Adolescent,Arctic Monkeys
Electric Feel,229,14007487,1582412,bb8dba10-4ce2-49c5-b70f-87beaffb4b2d,https://www.last.fm/music/MGMT/_/Electric+Feel,MGMT
ON THE GROUND,0,1089755,55333,,https://www.last.fm/music/Ros%C3%A9/_/ON+THE+GROUND,Rosé
Lose Yourself to Dance (feat. Pharrell Williams),0,4588278,663071,,https://www.last.fm/music/Daft+Punk/_/Lose+Yourself+to+Dance+(feat.+Pharrell+Williams),Daft Punk
Can't Feel My Face,0,5605376,631224,,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,The Weeknd
Love Galore (feat. Travis Scott),0,2428923,235175,,https://www.last.fm/music/SZA/_/Love+Galore+(feat.+Travis+Scott),SZA
Oblivion,252,7048272,639784,5640e03c-af18-4d9c-8d68-60e2e99b16d4,https://www.last.fm/music/Grimes/_/Oblivion,Grimes
Royals,223,10903388,1026149,6f1b86fd-279a-4672-9161-fefb7d000db1,https://www.last.fm/music/Lorde/_/Royals,Lorde
mIRrORbaLl,0,3054041,207208,,https://www.last.fm/music/Taylor+Swift/_/mIRrORbaLl,Taylor Swift
tolerate it,0,2002883,153519,,https://www.last.fm/music/Taylor+Swift/_/tolerate+it,Taylor Swift
worst behavior,0,536185,50959,,https://www.last.fm/music/Ariana+Grande/_/worst+behavior,Ariana Grande
Nobody,0,2625477,220887,,https://www.last.fm/music/Mitski/_/Nobody,Mitski
Nikes,0,4594428,353135,,https://www.last.fm/music/Frank+Ocean/_/Nikes,Frank Ocean
Highest in the room,0,1319431,172609,,https://www.last.fm/music/Travis+Scott/_/Highest+in+the+room,Travis Scott
sEvEN,0,3154692,202372,,https://www.last.fm/music/Taylor+Swift/_/sEvEN,Taylor Swift
BETTY,0,2799208,186591,,https://www.last.fm/music/Taylor+Swift/_/BETTY,Taylor Swift
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0,874222,211709,,https://www.last.fm/music/Daft+Punk/_/Get+Lucky+(feat.+Pharrell+Williams+&+Nile+Rodgers)+-+Radio+Edit,Daft Punk
Style,231,5869152,333270,4459f042-afff-4fa3-b5e5-e10d9782992d,https://www.last.fm/music/Taylor+Swift/_/Style,Taylor Swift
Lucid Dreams,0,3907148,322118,,https://www.last.fm/music/Juice+WRLD/_/Lucid+Dreams,Juice WRLD
Get Lucky (Feat. Pharrell Williams & Nile Rodgers),369,575404,147052,,https://www.last.fm/music/Daft+Punk/_/Get+Lucky+(Feat.+Pharrell+Williams+&+Nile+Rodgers),Daft Punk
Sour Candy (with BLACKPINK),0,5040079,230996,,https://www.last.fm/music/Lady+Gaga/_/Sour+Candy+(with+BLACKPINK),Lady Gaga
"Gravity (feat. Tyler, The Creator)",0,558524,83723,,"https://www.last.fm/music/Brent+Faiyaz/_/Gravity+(feat.+Tyler,+The+Creator)",Brent Faiyaz
Seven Nation Army,449,13673411,1671303,24cc8311-98fd-423a-bed1-97728f5eabc5,https://www.last.fm/music/The+White+Stripes/_/Seven+Nation+Army,The White Stripes
